axis,x,pipeline,shape,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,sparsity_real
depth,1,hardcoded,65-4-7,299,65,1004,4946,2356,5,1,1322.9698860004646,1322.9698860004646,57,67,74,0.0
depth,1,template,65-4-7,299,65,14140,62271,10416,9,1,2737.342665000142,7.512266999583517,223,231,250,0.0
depth,1,modular,65-4-7,299,65,12031,55015,19508,12,2,1998.6623649992907,8.656224000333168,336,352,401,0.0
depth,2,hardcoded,65-4-4-7,319,65,1071,5218,2356,5,1,1460.7354110003143,1460.7354110003143,57,74,153,0.0
depth,2,template,65-4-4-7,319,65,14628,63975,10416,9,1,2560.147817000143,6.273746000260871,249,253,293,0.0
depth,2,modular,65-4-4-7,319,65,12031,55015,19508,12,3,2128.4759820000545,8.395982999900298,425,434,502,0.0
depth,3,hardcoded,65-4-4-4-7,339,65,1090,5327,2356,5,1,1480.1897320003263,1480.1897320003263,58,65,82,0.0
depth,3,template,65-4-4-4-7,339,65,16141,71423,10416,9,1,2624.0889569999126,5.6045600003926666,289,309,343,0.0
depth,3,modular,65-4-4-4-7,339,65,12031,55015,19508,12,4,2353.4024780001346,8.775487000093563,489,491,545,0.0
depth,4,hardcoded,65-4-4-4-4-7,359,65,1150,5563,2356,5,1,1288.9395380007045,1288.9395380007045,71,73,195,0.0
depth,4,template,65-4-4-4-4-7,359,65,16390,72638,10416,9,1,3163.4186159999444,5.867951999789511,320,323,337,0.0
depth,4,modular,65-4-4-4-4-7,359,65,12031,55015,19508,12,5,2506.494300999293,6.471155999861367,571,614,791,0.0
depth,5,hardcoded,65-4-4-4-4-4-7,379,65,1215,5835,2356,5,1,1358.757297000011,1358.757297000011,75,79,97,0.0
depth,5,template,65-4-4-4-4-4-7,379,65,17207,76261,10416,9,1,2986.778700999821,5.466356999932032,376,424,574,0.0
depth,5,modular,65-4-4-4-4-4-7,379,65,12031,55015,19508,12,6,2184.849564000615,6.758485999853292,633,658,714,0.0
depth,6,hardcoded,65-4-4-4-4-4-4-7,399,65,1291,6133,2356,5,1,1528.7351489996581,1528.7351489996581,79,84,104,0.0
depth,6,template,65-4-4-4-4-4-4-7,399,65,18057,80298,10416,9,1,2913.5544549999395,6.109694000770105,397,400,422,0.0
depth,6,modular,65-4-4-4-4-4-4-7,399,65,12031,55015,19508,12,7,2019.2442470006426,7.553052000730531,716,781,859,0.0
