axis,x,pipeline,shape,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,sparsity_real
descriptor,default,hardcoded,65-4-4-7,319,65,1071,5218,2356,5,1,2091.654767000364,2091.654767000364,72,78,182,0.0
descriptor,default,template,65-4-4-7,319,65,14628,63975,10416,9,1,4122.950584000137,10.675130999516114,319,345,417,0.0
descriptor,default,modular,65-4-4-7,319,65,12031,55015,19508,12,3,3236.427525000181,12.450562999219983,534,545,626,0.0
descriptor,no_onehot,hardcoded,11-4-4-7,103,11,599,2568,2376,6,1,1760.1482720001513,1760.1482720001513,57,59,61,0.0
descriptor,no_onehot,template,11-4-4-7,103,11,14628,63975,10416,9,1,4279.617891999806,11.657492999802344,322,330,371,0.0
descriptor,no_onehot,modular,11-4-4-7,103,11,12031,55015,19508,12,3,3201.183098999536,11.226099000850809,582,593,679,0.0
descriptor,small_onehot,hardcoded,13-4-4-7,111,13,575,2606,2356,5,1,1731.1050339994836,1731.1050339994836,59,60,70,0.0
descriptor,small_onehot,template,13-4-4-7,111,13,14628,63975,10416,9,1,4174.060020999605,8.94513399907737,305,312,380,0.0
descriptor,small_onehot,modular,13-4-4-7,111,13,12031,55015,19508,12,3,3057.767337999394,13.230841999757104,527,560,583,0.0
descriptor,big_onehot,hardcoded,59-4-4-7,295,59,954,4687,2356,5,1,1878.930365000997,1878.930365000997,67,75,114,0.0
descriptor,big_onehot,template,59-4-4-7,295,59,14628,63975,10416,9,1,4088.0780309998954,10.058940000817529,308,354,514,0.0
descriptor,big_onehot,modular,59-4-4-7,295,59,12031,55015,19508,12,3,3267.478185998698,11.076871000113897,529,572,618,0.0
