axis,x,pipeline,shape,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,sparsity_real
nodes,10,hardcoded,23-4-4-7,151,23,746,3394,2356,5,1,1485.152843000833,1485.152843000833,60,66,77,0.0
nodes,10,template,23-4-4-7,151,23,14628,63975,10416,9,1,2971.734050000123,6.224048999683873,246,254,261,0.0
nodes,10,modular,23-4-4-7,151,23,12031,55015,19508,12,3,2147.2274819998347,6.3449700001001474,422,426,442,0.0
nodes,25,hardcoded,38-4-4-7,211,38,863,4069,2356,5,1,1428.7635489999957,1428.7635489999957,61,71,82,0.0
nodes,25,template,38-4-4-7,211,38,14628,63975,10416,9,1,3120.3380500001003,6.485089999841875,253,267,290,0.0
nodes,25,modular,38-4-4-7,211,38,12031,55015,19508,12,3,2031.5315510006258,11.507490000440157,428,462,609,0.0
nodes,52,hardcoded,65-4-4-7,319,65,1071,5218,2356,5,1,1284.3535669999255,1284.3535669999255,58,69,136,0.0
nodes,52,template,65-4-4-7,319,65,14628,63975,10416,9,1,2756.697685999825,7.560703999843099,252,277,305,0.0
nodes,52,modular,65-4-4-7,319,65,12031,55015,19508,12,3,2213.5346639997806,8.785764999629464,422,442,474,0.0
nodes,75,hardcoded,88-4-4-7,411,88,1539,7386,2356,5,1,1332.7493380002124,1332.7493380002124,53,77,130,0.0
nodes,75,template,88-4-4-7,411,88,14628,63975,10416,9,1,3045.063458000186,6.296939999629103,244,257,281,0.0
nodes,75,modular,88-4-4-7,411,88,12031,55015,19508,12,3,2059.26113500027,6.7605060003188555,437,454,513,0.0
nodes,100,hardcoded,113-4-4-7,511,113,1692,8432,2356,5,1,1444.2518830001063,1444.2518830001063,61,63,70,0.0
nodes,100,template,113-4-4-7,511,113,14628,63975,10416,9,1,2798.7133149999863,8.308366999699501,245,254,305,0.0
nodes,100,modular,113-4-4-7,511,113,12031,55015,19508,12,3,2147.619604999818,8.673946000271826,428,455,457,0.0
