axis,x,pipeline,shape,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,sparsity_real
sparsity,0.0,hardcoded,65-4-4-7,319,65,1071,5218,2356,5,1,1965.102817001025,1965.102817001025,76,82,138,0.0
sparsity,0.0,template,65-4-4-7,319,65,14628,63975,10416,9,1,4243.749519999255,9.06976999976905,313,327,412,0.0
sparsity,0.0,modular,65-4-4-7,319,65,12031,55015,19508,12,3,3200.838376998945,9.500840998953208,525,584,670,0.0
sparsity,0.25,hardcoded,65-4-4-7,319,65,939,4616,2356,5,1,2014.8117060016375,2014.8117060016375,68,72,160,0.23824451410658307
sparsity,0.25,template,65-4-4-7,319,65,14628,63975,10416,9,1,4109.773610998673,9.26545500078646,318,326,328,0.23824451410658307
sparsity,0.25,modular,65-4-4-7,319,65,12031,55015,19508,12,3,3399.990809999508,9.525634999590693,522,535,553,0.23824451410658307
sparsity,0.5,hardcoded,65-4-4-7,319,65,686,3300,2356,5,1,1728.0406059999223,1728.0406059999223,61,63,103,0.5141065830721003
sparsity,0.5,template,65-4-4-7,319,65,14628,63975,10416,9,1,4101.037190999705,9.504334999292041,307,323,414,0.5141065830721003
sparsity,0.5,modular,65-4-4-7,319,65,12031,55015,19508,12,3,3272.464736999609,12.499227999796858,534,560,626,0.5141065830721003
sparsity,0.75,hardcoded,65-4-4-7,319,65,363,1854,2356,5,1,1955.9881879995373,1955.9881879995373,48,49,51,0.7084639498432602
sparsity,0.75,template,65-4-4-7,319,65,14628,63975,10416,9,1,4023.869402000855,8.997873999760486,316,321,398,0.7084639498432602
sparsity,0.75,modular,65-4-4-7,319,65,12031,55015,19508,12,3,3148.7130549994617,9.79942500089237,532,639,1076,0.7084639498432602
sparsity,0.9,hardcoded,65-4-4-7,319,65,224,1106,2356,5,1,2106.919232999644,2106.919232999644,44,46,67,0.9059561128526645
sparsity,0.9,template,65-4-4-7,319,65,14628,63975,10416,9,1,4353.54333199939,14.459752001130255,326,330,372,0.9059561128526645
sparsity,0.9,modular,65-4-4-7,319,65,12031,55015,19508,12,3,3106.5472539994516,9.716782000396051,539,579,848,0.9059561128526645
