axis,x,pipeline,shape,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,sparsity_real
width,2,hardcoded,65-2-2-7,159,65,778,3901,2356,5,1,1235.9470219998911,1235.9470219998911,52,61,116,0.0
width,2,template,65-2-2-7,159,65,14628,63975,10416,9,1,2863.2223510003314,5.8767259997694055,238,260,276,0.0
width,2,modular,65-2-2-7,159,65,12031,55015,19508,12,3,2377.5754910002433,7.3925180004152935,388,403,439,0.0
width,4,hardcoded,65-4-4-7,319,65,1071,5218,2356,5,1,1452.3671750002904,1452.3671750002904,59,72,81,0.0
width,4,template,65-4-4-7,319,65,14628,63975,10416,9,1,3123.10713900024,6.540545999996539,249,265,299,0.0
width,4,modular,65-4-4-7,319,65,12031,55015,19508,12,3,2481.2934399997175,7.793807999405544,434,456,584,0.0
width,6,hardcoded,65-6-6-7,487,65,1405,6728,2356,5,1,1421.7566429997532,1421.7566429997532,79,94,115,0.0
width,6,template,65-6-6-7,487,65,14628,63975,10416,9,1,3863.0587289990217,8.328432999405777,339,345,361,0.0
width,6,modular,65-6-6-7,487,65,12031,55015,19508,12,3,3445.7743399998435,8.878041000571102,573,584,714,0.0
width,8,hardcoded,65-8-8-7,663,65,1920,9011,2356,5,1,2180.0204099999974,2180.0204099999974,125,132,138,0.0
width,8,template,65-8-8-7,663,65,14628,63975,10416,9,1,3968.9998930007278,9.322055000666296,359,390,434,0.0
width,8,modular,65-8-8-7,663,65,12031,55015,19508,12,3,3091.46075299941,8.988408999357489,633,670,792,0.0
