axis,x,pipeline,shape,n_out,depth,width,macs,macs_eff,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,mpps,sparsity_real,lookups
degree,2,p1_static,65-4-4-7,7,2,4,304,80,319,65,549,2488,2516,5,1,69.38788000115892,10.092,33,41,65,30.303030303030305,0.0,
degree,2,hardcoded,65-4-4-7,7,2,4,304,80,319,65,1028,5039,2516,5,1,86.27032600088569,5.186,38,62,84,26.31578947368421,0.0,
degree,2,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,1619.940886999757,3.4207720000267727,152,182,228,6.578947368421052,0.0,
degree,2,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,1285.3794829989056,4.492349000429385,263,285,345,3.802281368821293,0.0,
degree,3,p1_static,65-4-4-7,7,2,4,304,80,319,65,567,2540,2516,5,1,70.00534899998456,5.181,31,48,68,32.25806451612903,0.0,
degree,3,hardcoded,65-4-4-7,7,2,4,304,80,319,65,1028,5039,2516,5,1,85.09406099983607,9.677,44,48,79,22.727272727272727,0.0,
degree,3,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,1571.2522750000062,3.798226000071736,173,260,334,5.780346820809249,0.0,
degree,3,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,1261.6358690011111,5.5413339996448485,265,380,521,3.7735849056603774,0.0,
degree,4,p1_static,65-4-4-7,7,2,4,304,80,319,65,584,2607,2516,5,1,64.96119599978556,7.328,32,42,66,31.25,0.0,
degree,4,hardcoded,65-4-4-7,7,2,4,304,80,319,65,1028,5039,2516,5,1,84.64373700007854,5.229,42,48,79,23.80952380952381,0.0,
degree,4,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,1635.1446400003624,3.5058029989158968,153,185,331,6.5359477124183005,0.0,
degree,4,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,1288.8383700010309,7.895849999840721,242,270,493,4.132231404958677,0.0,
degree,5,p1_static,65-4-4-7,7,2,4,304,80,319,65,600,2665,2516,5,1,70.00830300057714,6.447,34,41,71,29.41176470588235,0.0,
degree,5,hardcoded,65-4-4-7,7,2,4,304,80,319,65,1028,5039,2516,5,1,80.94201600033557,5.469,38,49,82,26.31578947368421,0.0,
degree,5,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,1478.3225079991098,3.824763000011444,155,168,331,6.451612903225806,0.0,
degree,5,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,1270.5261190003512,5.529710999326198,256,271,294,3.90625,0.0,
degree,6,p1_static,65-4-4-7,7,2,4,304,80,319,65,618,2730,2516,5,1,80.71175900113303,9.008,38,40,75,26.31578947368421,0.0,
degree,6,hardcoded,65-4-4-7,7,2,4,304,80,319,65,1028,5039,2516,5,1,83.79206399877148,5.361,39,44,51,25.641025641025642,0.0,
degree,6,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,1582.5714700004028,3.497400999549427,154,165,255,6.4935064935064934,0.0,
degree,6,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,1240.2499279996846,5.335916999683832,245,277,528,4.081632653061225,0.0,
