axis,x,pipeline,shape,n_out,depth,width,macs,macs_eff,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,mpps,sparsity_real,lookups
depth,1,p1_static,65-4-7,7,1,4,288,64,299,65,563,2533,2356,5,1,1479.9700180000173,1479.9700180000173,53,61,66,18.867924528301888,0.0,
depth,1,hardcoded,65-4-7,7,1,4,288,64,299,65,1004,4946,2356,5,1,1516.2175570000045,1516.2175570000045,61,61,77,16.39344262295082,0.0,
depth,1,template,65-4-7,7,1,4,288,64,299,65,14668,66134,10416,9,1,2663.2572789999926,3.5443699999859746,131,242,277,7.633587786259542,0.0,
depth,1,modular,65-4-7,7,1,4,288,64,299,65,12349,57372,19508,12,2,2318.5253949999947,23.410297999987506,347,355,461,2.881844380403458,0.0,
depth,2,p1_static,65-4-4-7,7,2,4,304,80,319,65,614,2740,2356,5,1,1556.5902170000072,1556.5902170000072,60,61,74,16.666666666666668,0.0,
depth,2,hardcoded,65-4-4-7,7,2,4,304,80,319,65,1071,5218,2356,5,1,1462.4364590000027,1462.4364590000027,69,73,83,14.492753623188406,0.0,
depth,2,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,3213.8292949999823,6.9155439999804,270,274,276,3.7037037037037037,0.0,
depth,2,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,2326.4099859999874,6.771939999964616,438,456,507,2.2831050228310503,0.0,
depth,3,p1_static,65-4-4-4-7,7,3,4,320,96,339,65,630,2838,2356,5,1,1394.512646999999,1394.512646999999,60,69,73,16.666666666666668,0.0,
depth,3,hardcoded,65-4-4-4-7,7,3,4,320,96,339,65,1090,5327,2356,5,1,1618.345743999953,1618.345743999953,40,71,73,25.0,0.0,
depth,3,template,65-4-4-4-7,7,3,4,320,96,339,65,16663,74972,10416,9,1,2514.2617270000187,9.006665000015346,305,307,343,3.278688524590164,0.0,
depth,3,modular,65-4-4-4-7,7,3,4,320,96,339,65,12349,57372,19508,12,4,2168.173522000018,7.774167000036414,492,513,542,2.032520325203252,0.0,
depth,4,p1_static,65-4-4-4-4-7,7,4,4,336,112,359,65,707,3144,2356,5,1,1523.8229349999983,1523.8229349999983,70,73,87,14.285714285714286,0.0,
depth,4,hardcoded,65-4-4-4-4-7,7,4,4,336,112,359,65,1150,5563,2356,5,1,1270.3401219999932,1270.3401219999932,79,83,98,12.658227848101266,0.0,
depth,4,template,65-4-4-4-4-7,7,4,4,336,112,359,65,16867,76073,10416,9,1,2982.389936000004,8.864629000015611,333,338,387,3.003003003003003,0.0,
depth,4,modular,65-4-4-4-4-7,7,4,4,336,112,359,65,12349,57372,19508,12,5,2330.2537939999866,6.994783999971332,572,587,620,1.7482517482517483,0.0,
depth,5,p1_static,65-4-4-4-4-4-7,7,5,4,352,128,379,65,771,3412,2356,5,1,1263.8440240000364,1263.8440240000364,75,76,79,13.333333333333334,0.0,
depth,5,hardcoded,65-4-4-4-4-4-7,7,5,4,352,128,379,65,1215,5835,2356,5,1,1510.3389409999863,1510.3389409999863,85,87,94,11.764705882352942,0.0,
depth,5,template,65-4-4-4-4-4-7,7,5,4,352,128,379,65,17828,79894,10416,9,1,3314.7787280000216,6.166490999987673,384,392,521,2.6041666666666665,0.0,
depth,5,modular,65-4-4-4-4-4-7,7,5,4,352,128,379,65,12349,57372,19508,12,6,2445.307673000002,7.3083469999915,630,647,654,1.5873015873015872,0.0,
depth,6,p1_static,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,848,3715,2356,5,1,1599.5866890000343,1599.5866890000343,80,81,86,12.5,0.0,
depth,6,hardcoded,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,1291,6133,2356,5,1,1499.1217760000382,1499.1217760000382,88,90,108,11.363636363636363,0.0,
depth,6,template,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,18801,84613,10416,9,1,3347.3256050000373,6.2044830000331785,421,444,527,2.375296912114014,0.0,
depth,6,modular,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,12349,57372,19508,12,7,2354.6370479999723,8.118950000039149,699,735,806,1.4306151645207439,0.0,
