axis,x,pipeline,seed,shape,n_out,depth,width,macs,macs_eff,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,mpps,sparsity_real,lookups
depth,1,p1_static,42,65-4-7,7,1,4,288,64,299,65,573,2532,2516,5,1,346.823087999951,18.802,54,56,67,18.51851851851852,0.0,
depth,1,hardcoded,42,65-4-7,7,1,4,288,64,299,65,973,4805,2516,5,1,177.15585700000247,17.796,60,62,64,16.666666666666668,0.0,
depth,1,template,42,65-4-7,7,1,4,288,64,299,65,14676,66675,141744,10,1,3354.186167000023,11.31194599997798,244,257,280,4.098360655737705,0.0,
depth,1,modular,42,65-4-7,7,1,4,288,64,299,65,12374,57496,150836,13,2,2555.8197610000093,11.661697999954868,346,353,444,2.8901734104046244,0.0,
depth,1,p1_static,1,65-4-7,7,1,4,288,64,299,65,501,2256,2516,5,1,153.95707199996878,11.436,46,48,65,21.73913043478261,0.0,
depth,1,hardcoded,1,65-4-7,7,1,4,288,64,299,65,965,4814,2516,5,1,183.98564300002818,26.761,59,64,67,16.949152542372882,0.0,
depth,1,template,1,65-4-7,7,1,4,288,64,299,65,14676,66675,141744,10,1,2858.489631999987,6.9485479999684685,246,274,311,4.065040650406504,0.0,
depth,1,modular,1,65-4-7,7,1,4,288,64,299,65,12374,57496,150836,13,2,2431.405801999972,16.754557000012937,348,378,391,2.8735632183908044,0.0,
depth,1,p1_static,2,65-4-7,7,1,4,288,64,299,65,587,2591,2516,5,1,137.89954999992915,12.506,53,55,58,18.867924528301888,0.0,
depth,1,hardcoded,2,65-4-7,7,1,4,288,64,299,65,998,4861,2516,5,1,182.44999400008055,13.46,62,62,65,16.129032258064516,0.0,
depth,1,template,2,65-4-7,7,1,4,288,64,299,65,14676,66675,141744,10,1,2939.3332760000703,9.414599000024282,241,249,274,4.149377593360996,0.0,
depth,1,modular,2,65-4-7,7,1,4,288,64,299,65,12374,57496,150836,13,2,2473.8460629999963,7.480869000005441,355,358,363,2.816901408450704,0.0,
depth,1,p1_static,3,65-4-7,7,1,4,288,64,299,65,577,2550,2516,5,1,149.2326630000207,10.773,52,54,58,19.23076923076923,0.0,
depth,1,hardcoded,3,65-4-7,7,1,4,288,64,299,65,1001,4881,2516,5,1,166.65175299999646,10.331,59,62,100,16.949152542372882,0.0,
depth,1,template,3,65-4-7,7,1,4,288,64,299,65,14676,66675,141744,10,1,2843.6064710000437,7.1169789999885325,244,254,264,4.098360655737705,0.0,
depth,1,modular,3,65-4-7,7,1,4,288,64,299,65,12374,57496,150836,13,2,2468.5686750000286,9.158804999970016,345,353,436,2.898550724637681,0.0,
depth,1,p1_static,7,65-4-7,7,1,4,288,64,299,65,568,2514,2516,5,1,130.29430199992476,8.214,51,53,62,19.607843137254903,0.0,
depth,1,hardcoded,7,65-4-7,7,1,4,288,64,299,65,974,4821,2516,5,1,180.3330930000584,9.935,61,63,75,16.39344262295082,0.0,
depth,1,template,7,65-4-7,7,1,4,288,64,299,65,14676,66675,141744,10,1,2645.949113000029,7.054605999996966,245,251,275,4.081632653061225,0.0,
depth,1,modular,7,65-4-7,7,1,4,288,64,299,65,12374,57496,150836,13,2,2469.37668999999,9.346923999942192,362,386,447,2.7624309392265194,0.0,
depth,2,p1_static,42,65-4-4-7,7,2,4,304,80,319,65,618,2730,2516,5,1,142.85931999995682,18.7,60,64,76,16.666666666666668,0.0,
depth,2,hardcoded,42,65-4-4-7,7,2,4,304,80,319,65,1028,5039,2516,5,1,178.1531269999732,11.488,68,69,76,14.705882352941176,0.0,
depth,2,template,42,65-4-4-7,7,2,4,304,80,319,65,14976,67472,141744,10,1,3077.291397999943,11.668528999962291,275,282,337,3.6363636363636362,0.0,
depth,2,modular,42,65-4-4-7,7,2,4,304,80,319,65,12374,57496,150836,13,3,2308.3278160000873,29.371951000030094,440,492,526,2.272727272727273,0.0,
depth,2,p1_static,1,65-4-4-7,7,2,4,304,80,319,65,578,2558,2516,5,1,143.7332289999631,11.334,54,56,73,18.51851851851852,0.0,
depth,2,hardcoded,1,65-4-4-7,7,2,4,304,80,319,65,1045,5150,2516,5,1,209.5541520000097,18.187,84,85,88,11.904761904761905,0.0,
depth,2,template,1,65-4-4-7,7,2,4,304,80,319,65,14976,67472,141744,10,1,4128.688436000061,10.459615999934613,336,342,393,2.9761904761904763,0.0,
depth,2,modular,1,65-4-4-7,7,2,4,304,80,319,65,12374,57496,150836,13,3,3442.7197899999555,12.128024000048754,527,541,562,1.8975332068311195,0.0,
depth,2,p1_static,2,65-4-4-7,7,2,4,304,80,319,65,636,2779,2516,5,1,158.57587300001796,10.295,70,79,80,14.285714285714286,0.0,
depth,2,hardcoded,2,65-4-4-7,7,2,4,304,80,319,65,1068,5130,2516,5,1,224.0591019999556,12.635,84,86,110,11.904761904761905,0.0,
depth,2,template,2,65-4-4-7,7,2,4,304,80,319,65,14976,67472,141744,10,1,3994.884352999975,10.653465000018514,265,266,280,3.7735849056603774,0.0,
depth,2,modular,2,65-4-4-7,7,2,4,304,80,319,65,12374,57496,150836,13,3,2894.394340000076,7.199767999964024,433,444,517,2.3094688221709005,0.0,
