axis,x,pipeline,shape,n_out,depth,width,macs,macs_eff,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,mpps,sparsity_real,lookups
descriptor,default,p1_static,65-4-4-7,7,2,4,304,80,319,65,618,2730,2516,5,1,96.59914399890113,8.443,34,44,62,29.41176470588235,0.0,
descriptor,default,hardcoded,65-4-4-7,7,2,4,304,80,319,65,1028,5039,2516,5,1,82.5658920002752,5.393,40,49,80,25.0,0.0,
descriptor,default,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,1579.4115739990957,3.9563160007674014,156,229,264,6.410256410256411,0.0,
descriptor,default,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,1283.7409749990911,4.222520999974222,282,375,439,3.5460992907801416,0.0,
descriptor,no_onehot,p1_static,11-4-4-7,7,2,4,88,88,103,11,596,2539,2536,6,1,65.35473899930366,5.885,33,39,46,30.303030303030305,0.0,
descriptor,no_onehot,hardcoded,11-4-4-7,7,2,4,88,88,103,11,596,2539,2536,6,1,71.7103839997435,5.028,34,47,63,29.41176470588235,0.0,
descriptor,no_onehot,template,11-4-4-7,7,2,4,88,88,103,11,14985,67183,10416,9,1,1545.103141999789,4.808469000636251,162,178,272,6.172839506172839,0.0,
descriptor,no_onehot,modular,11-4-4-7,7,2,4,88,88,103,11,12349,57372,19508,12,3,1257.5604929988913,8.663582000735914,271,301,413,3.690036900369004,0.0,
descriptor,small_onehot,p1_static,13-4-4-7,7,2,4,96,76,111,13,605,2700,2516,5,1,63.983174999521,5.838,32,42,46,31.25,0.0,
descriptor,small_onehot,hardcoded,13-4-4-7,7,2,4,96,76,111,13,605,2700,2516,5,1,71.61610500043025,6.839,33,35,66,30.303030303030305,0.0,
descriptor,small_onehot,template,13-4-4-7,7,2,4,96,76,111,13,14985,67183,10416,9,1,1533.3263319989783,3.8428619991464075,154,171,248,6.4935064935064934,0.0,
descriptor,small_onehot,modular,13-4-4-7,7,2,4,96,76,111,13,12349,57372,19508,12,3,1281.543295001029,4.303478001020267,307,411,526,3.257328990228013,0.0,
descriptor,big_onehot,p1_static,59-4-4-7,7,2,4,280,76,295,59,539,2337,2516,5,1,72.5669769999513,8.377,31,36,40,32.25806451612903,0.0,
descriptor,big_onehot,hardcoded,59-4-4-7,7,2,4,280,76,295,59,950,4654,2516,5,1,75.6627999999182,5.767,34,48,64,29.41176470588235,0.0,
descriptor,big_onehot,template,59-4-4-7,7,2,4,280,76,295,59,14985,67183,10416,9,1,1539.809673999116,4.313449000619585,162,225,269,6.172839506172839,0.0,
descriptor,big_onehot,modular,59-4-4-7,7,2,4,280,76,295,59,12349,57372,19508,12,3,1275.1433759985957,3.995818999101175,258,279,313,3.875968992248062,0.0,
