axis,x,pipeline,shape,n_out,depth,width,macs,macs_eff,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,mpps,sparsity_real,lookups
isoparam,1,p1_static,65-8-7,7,1,8,576,128,591,65,902,3939,2356,5,1,1294.2846400000008,1294.2846400000008,81,89,96,12.345679012345679,0.0,
isoparam,1,hardcoded,65-8-7,7,1,8,576,128,591,65,1774,8574,2356,5,1,1257.210729999997,1257.210729999997,86,96,105,11.627906976744185,0.0,
isoparam,1,template,65-8-7,7,1,8,576,128,591,65,14668,66134,10416,9,1,2386.3142679999783,5.728960000055849,279,304,305,3.5842293906810037,0.0,
isoparam,1,modular,65-8-7,7,1,8,576,128,591,65,12349,57372,19508,12,2,2097.780109999917,7.906768999987435,392,439,478,2.5510204081632653,0.0,
isoparam,2,p1_static,65-8-4-7,7,2,8,580,132,599,65,889,3880,2356,5,1,1557.102480000026,1557.102480000026,73,82,86,13.698630136986301,0.0,
isoparam,2,hardcoded,65-8-4-7,7,2,8,580,132,599,65,1638,7958,2356,5,1,1580.0238109999327,1580.0238109999327,85,91,109,11.764705882352942,0.0,
isoparam,2,template,65-8-4-7,7,2,8,580,132,599,65,14985,67183,10416,9,1,2672.358024999994,5.558253999993212,271,290,345,3.690036900369004,0.0,
isoparam,2,modular,65-8-4-7,7,2,8,580,132,599,65,12349,57372,19508,12,3,2432.8750090000995,10.858718000008594,448,457,546,2.232142857142857,0.0,
isoparam,3,p1_static,65-8-3-3-7,7,3,8,574,126,595,65,840,3712,2356,5,1,1346.324789999926,1346.324789999926,70,73,81,14.285714285714286,0.0,
isoparam,3,hardcoded,65-8-3-3-7,7,3,8,574,126,595,65,1723,8376,2356,5,1,1528.9849709999999,1528.9849709999999,80,84,101,12.5,0.0,
isoparam,3,template,65-8-3-3-7,7,3,8,574,126,595,65,16663,74972,10416,9,1,3262.8781519999848,6.4654960000325445,294,330,342,3.401360544217687,0.0,
isoparam,3,modular,65-8-3-3-7,7,3,8,574,126,595,65,12349,57372,19508,12,4,1998.3278549999568,5.8226869999771225,511,525,599,1.9569471624266144,0.0,
isoparam,4,p1_static,65-7-5-5-5-7,7,4,7,575,183,604,65,1029,4405,2356,5,1,1589.1406330000564,1589.1406330000564,90,91,123,11.11111111111111,0.0,
isoparam,4,hardcoded,65-7-5-5-5-7,7,4,7,575,183,604,65,1748,8226,2356,5,1,1359.6307610000622,1359.6307610000622,98,100,108,10.204081632653061,0.0,
isoparam,4,template,65-7-5-5-5-7,7,4,7,575,183,604,65,16867,76073,10416,9,1,3001.438578000034,7.635139000058189,369,371,411,2.710027100271003,0.0,
isoparam,4,modular,65-7-5-5-5-7,7,4,7,575,183,604,65,12349,57372,19508,12,5,2081.830068000045,6.199243999958526,608,614,623,1.644736842105263,0.0,
isoparam,5,p1_static,65-7-4-4-4-4-7,7,5,7,559,167,589,65,972,4200,2356,5,1,1635.0568200000453,1635.0568200000453,85,86,93,11.764705882352942,0.0,
isoparam,5,hardcoded,65-7-4-4-4-4-7,7,5,7,559,167,589,65,1627,7780,2356,5,1,1474.4557540000187,1474.4557540000187,95,108,119,10.526315789473685,0.0,
isoparam,5,template,65-7-4-4-4-4-7,7,5,7,559,167,589,65,17828,79894,10416,9,1,2918.9313719999745,7.033448000015596,382,383,395,2.6178010471204187,0.0,
isoparam,5,modular,65-7-4-4-4-4-7,7,5,7,559,167,589,65,12349,57372,19508,12,6,2542.764377000026,7.545703000005233,661,669,817,1.51285930408472,0.0,
