axis,x,pipeline,shape,n_out,depth,width,macs,macs_eff,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,mpps,sparsity_real,lookups
nodes,10,p1_static,23-4-4-7,7,2,4,136,80,151,23,623,2741,2516,5,1,72.17148800009454,5.89,40,49,58,25.0,0.0,
nodes,10,hardcoded,23-4-4-7,7,2,4,136,80,151,23,727,3284,2516,5,1,107.43986099987524,4.86,39,44,50,25.641025641025642,0.0,
nodes,10,template,23-4-4-7,7,2,4,136,80,151,23,14985,67183,10416,9,1,1491.9487530005426,3.7291230000846554,156,175,272,6.410256410256411,0.0,
nodes,10,modular,23-4-4-7,7,2,4,136,80,151,23,12349,57372,19508,12,3,1301.1169500005053,10.417031999168103,255,304,535,3.9215686274509802,0.0,
nodes,25,p1_static,38-4-4-7,7,2,4,196,80,211,38,631,2774,2516,5,1,66.46934099990176,5.649,39,51,59,25.641025641025642,0.0,
nodes,25,hardcoded,38-4-4-7,7,2,4,196,80,211,38,838,3945,2516,5,1,81.91086999977415,5.644,43,49,62,23.25581395348837,0.0,
nodes,25,template,38-4-4-7,7,2,4,196,80,211,38,14985,67183,10416,9,1,1613.8365410006372,4.009194999525789,156,180,201,6.410256410256411,0.0,
nodes,25,modular,38-4-4-7,7,2,4,196,80,211,38,12349,57372,19508,12,3,1341.4591740001924,4.52642299933359,265,403,511,3.7735849056603774,0.0,
nodes,52,p1_static,65-4-4-7,7,2,4,304,80,319,65,618,2730,2516,5,1,67.5832970009651,6.087,37,49,76,27.027027027027028,0.0,
nodes,52,hardcoded,65-4-4-7,7,2,4,304,80,319,65,1028,5039,2516,5,1,84.00267599972722,5.129,48,56,85,20.833333333333332,0.0,
nodes,52,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,1571.3155630000983,4.401285001222277,168,213,281,5.9523809523809526,0.0,
nodes,52,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,1312.5875220011949,4.047640999488067,272,290,418,3.676470588235294,0.0,
nodes,75,p1_static,88-4-4-7,7,2,4,396,80,411,88,621,2745,2516,5,1,89.77903900085948,30.92,32,36,66,31.25,0.0,
nodes,75,hardcoded,88-4-4-7,7,2,4,396,80,411,88,1466,7167,2516,5,1,94.73539200007508,14.728,38,48,57,26.31578947368421,0.0,
nodes,75,template,88-4-4-7,7,2,4,396,80,411,88,14985,67183,10416,9,1,1506.847601998743,3.6167700000078185,153,184,263,6.5359477124183005,0.0,
nodes,75,modular,88-4-4-7,7,2,4,396,80,411,88,12349,57372,19508,12,3,1247.459627000353,4.076876999533852,259,280,416,3.861003861003861,0.0,
nodes,100,p1_static,113-4-4-7,7,2,4,496,80,511,113,636,2803,2516,5,1,73.6150529992301,5.237,37,43,60,27.027027027027028,0.0,
nodes,100,hardcoded,113-4-4-7,7,2,4,496,80,511,113,1695,8392,2516,5,1,113.38866500045697,8.085,44,50,70,22.727272727272727,0.0,
nodes,100,template,113-4-4-7,7,2,4,496,80,511,113,14985,67183,10416,9,1,1587.9386119995615,4.257343000062974,152,175,312,6.578947368421052,0.0,
nodes,100,modular,113-4-4-7,7,2,4,496,80,511,113,12349,57372,19508,12,3,1287.1797289990354,4.084249998413725,264,372,531,3.787878787878788,0.0,
