axis,x,pipeline,shape,n_out,depth,width,macs,macs_eff,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,mpps,sparsity_real,lookups
sparsity,0.0,p1_static,65-4-4-7,7,2,4,304,80,319,65,614,2740,2356,5,1,1474.9220800001694,1474.9220800001694,60,69,73,16.666666666666668,0.0,
sparsity,0.0,hardcoded,65-4-4-7,7,2,4,304,80,319,65,1071,5218,2356,5,1,1561.9478590001563,1561.9478590001563,68,69,93,14.705882352941176,0.0,
sparsity,0.0,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,2645.787602000155,7.756122000046162,274,283,331,3.6496350364963503,0.0,
sparsity,0.0,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,2179.8837520000234,7.294793000028221,432,455,465,2.314814814814815,0.0,
sparsity,0.25,p1_static,65-4-4-7,7,2,4,304,80,319,65,566,2548,2356,5,1,1211.5166090000002,1211.5166090000002,51,58,77,19.607843137254903,0.23824451410658307,
sparsity,0.25,hardcoded,65-4-4-7,7,2,4,304,80,319,65,939,4616,2356,5,1,1378.1302380000398,1378.1302380000398,61,63,72,16.39344262295082,0.23824451410658307,
sparsity,0.25,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,2969.8674159999428,7.824609999943277,264,265,268,3.787878787878788,0.23824451410658307,
sparsity,0.25,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,2425.7717870000306,6.705654999905164,444,507,540,2.2522522522522523,0.23824451410658307,
sparsity,0.5,p1_static,65-4-4-7,7,2,4,304,80,319,65,417,1934,2356,5,1,1162.0031699999345,1162.0031699999345,44,45,55,22.727272727272727,0.5141065830721003,
sparsity,0.5,hardcoded,65-4-4-7,7,2,4,304,80,319,65,686,3300,2356,5,1,1377.6725010000064,1377.6725010000064,53,54,66,18.867924528301888,0.5141065830721003,
sparsity,0.5,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,2422.619869999835,5.311453999865989,269,273,339,3.717472118959108,0.5141065830721003,
sparsity,0.5,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,2643.599652000148,7.3082719998183165,433,452,539,2.3094688221709005,0.5141065830721003,
sparsity,0.75,p1_static,65-4-4-7,7,2,4,304,80,319,65,294,1452,2356,5,1,1268.9856519998557,1268.9856519998557,36,37,40,27.77777777777778,0.7084639498432602,
sparsity,0.75,hardcoded,65-4-4-7,7,2,4,304,80,319,65,363,1854,2356,5,1,1449.5302499999525,1449.5302499999525,43,47,54,23.25581395348837,0.7084639498432602,
sparsity,0.75,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,3156.542642999966,6.68699499988179,269,274,286,3.717472118959108,0.7084639498432602,
sparsity,0.75,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,2420.3730730000643,9.989904999883947,439,458,502,2.277904328018223,0.7084639498432602,
sparsity,0.9,p1_static,65-4-4-7,7,2,4,304,80,319,65,216,1071,2356,5,1,1452.0701930000541,1452.0701930000541,31,32,32,32.25806451612903,0.9059561128526645,
sparsity,0.9,hardcoded,65-4-4-7,7,2,4,304,80,319,65,224,1106,2356,5,1,1261.0269260001132,1261.0269260001132,40,45,52,25.0,0.9059561128526645,
sparsity,0.9,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,2898.1776450000325,6.289636000019527,268,271,298,3.7313432835820897,0.9059561128526645,
sparsity,0.9,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,2413.9158220000354,6.994963000124699,427,471,569,2.34192037470726,0.9059561128526645,
