axis,x,pipeline,shape,n_out,depth,width,macs,macs_eff,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,mpps,sparsity_real,lookups
width,2,p1_static,65-2-2-7,7,2,2,148,36,159,65,449,2072,2516,5,1,66.83246799912013,5.606,24,28,45,41.666666666666664,0.0,
width,2,hardcoded,65-2-2-7,7,2,2,148,36,159,65,736,3676,2516,5,1,70.58604900157661,5.274,39,43,62,25.641025641025642,0.0,
width,2,template,65-2-2-7,7,2,2,148,36,159,65,14985,67183,10416,9,1,1488.6034850005672,3.8015119989722734,153,166,222,6.5359477124183005,0.0,
width,2,modular,65-2-2-7,7,2,2,148,36,159,65,12349,57372,19508,12,3,1304.7018850011227,4.284695998649113,239,253,264,4.184100418410042,0.0,
width,4,p1_static,65-4-4-7,7,2,4,304,80,319,65,618,2730,2516,5,1,78.6578119987098,11.879,35,49,69,28.571428571428573,0.0,
width,4,hardcoded,65-4-4-7,7,2,4,304,80,319,65,1028,5039,2516,5,1,89.83069299938506,5.772,41,45,83,24.390243902439025,0.0,
width,4,template,65-4-4-7,7,2,4,304,80,319,65,14985,67183,10416,9,1,1580.441490999874,3.8418399999500252,159,210,286,6.289308176100629,0.0,
width,4,modular,65-4-4-7,7,2,4,304,80,319,65,12349,57372,19508,12,3,1269.845916000122,4.145121998590184,255,301,509,3.9215686274509802,0.0,
width,6,p1_static,65-6-6-7,7,2,6,468,132,487,65,834,3558,2516,5,1,88.22202999908768,9.969,49,52,101,20.408163265306122,0.0,
width,6,hardcoded,65-6-6-7,7,2,6,468,132,487,65,1388,6613,2516,5,1,101.92138200000045,5.898,49,64,105,20.408163265306122,0.0,
width,6,template,65-6-6-7,7,2,6,468,132,487,65,14985,67183,10416,9,1,1560.4651720004767,3.6954000006517163,163,192,349,6.134969325153374,0.0,
width,6,modular,65-6-6-7,7,2,6,468,132,487,65,12349,57372,19508,12,3,1335.3702309996152,4.385748999993666,286,393,583,3.4965034965034967,0.0,
width,8,p1_static,65-8-8-7,7,2,8,640,192,663,65,1242,5245,2516,5,1,88.72009600054298,6.117,58,79,120,17.24137931034483,0.0,
width,8,hardcoded,65-8-8-7,7,2,8,640,192,663,65,2270,10438,2516,5,1,127.22179900083574,16.477,63,73,136,15.873015873015873,0.0,
width,8,template,65-8-8-7,7,2,8,640,192,663,65,14985,67183,10416,9,1,1540.666245000466,3.8949789995967876,172,185,347,5.813953488372093,0.0,
width,8,modular,65-8-8-7,7,2,8,640,192,663,65,12349,57372,19508,12,3,1321.2856350000948,5.560346000493155,298,385,537,3.3557046979865772,0.0,
